측정시간,구,방문자수,혼잡도점수
개천절,금천구,119392,4.85
크리스마스이브,양천구,118681,4.82
한글날,중구,118468,4.82
한글날,광진구,117824,4.79
개천절,광진구,116520,4.74
삼일절,양천구,114107,4.64
신정,강남구,113453,4.61
한글날,금천구,113372,4.61
광복절,구로구,113079,4.6
삼일절,구로구,112350,4.57
개천절,강북구,107733,4.38
크리스마스이브,중구,107623,4.37
개천절,노원구,107309,4.36
광복절,도봉구,106822,4.34
한글날,노원구,106821,4.34
크리스마스이브,구로구,106447,4.32
개천절,마포구,105673,4.29
개천절,강동구,104629,4.25
한글날,강동구,102425,4.16
어린이날,구로구,102421,4.16
한글날,강북구,100703,4.09
한글날,송파구,99835,4.05
현충일,양천구,99034,4.02
신정,동작구,98295,3.99
한글날,마포구,98075,3.98
신정,양천구,97445,3.96
어린이날,양천구,97385,3.95
현충일,구로구,95312,3.87
현충일,도봉구,92673,3.76
어린이날,도봉구,92558,3.76
광복절,강동구,88683,3.6
크리스마스,도봉구,86719,3.52
신정,구로구,84775,3.44
개천절,강서구,83164,3.37
크리스마스,광진구,82443,3.35
광복절,강북구,81683,3.31
크리스마스,금천구,81057,3.29
개천절,송파구,80159,3.25
한글날,강서구,79707,3.23
광복절,관악구,79094,3.21
크리스마스이브,관악구,78182,3.17
신정,관악구,76749,3.11
광복절,금천구,76136,3.09
광복절,마포구,75608,3.07
크리스마스,강동구,75244,3.05
어린이날,금천구,75004,3.04
크리스마스이브,광진구,74231,3.01
현충일,관악구,73553,2.98
삼일절,관악구,72439,2.94
광복절,광진구,69858,2.83
크리스마스이브,강서구,69484,2.82
현충일,금천구,68842,2.79
광복절,노원구,68600,2.78
현충일,중구,68557,2.78
어린이날,관악구,68384,2.77
삼일절,도봉구,68170,2.76
크리스마스이브,금천구,68057,2.76
현충일,강동구,67876,2.75
크리스마스,노원구,67716,2.74
개천절,중랑구,67597,2.74
크리스마스,관악구,67578,2.74
광복절,중구,67232,2.72
크리스마스,마포구,66669,2.7
어린이날,강동구,66284,2.69
삼일절,광진구,66034,2.68
삼일절,노원구,65792,2.67
한글날,중랑구,65455,2.65
현충일,강북구,65417,2.65
현충일,광진구,63990,2.59
어린이날,마포구,63854,2.59
현충일,마포구,63030,2.55
삼일절,금천구,62950,2.55
어린이날,광진구,62119,2.52
현충일,노원구,62044,2.51
어린이날,강북구,61702,2.5
크리스마스이브,도봉구,61493,2.49
크리스마스이브,강동구,59822,2.42
크리스마스,강서구,59634,2.41
신정,도봉구,59560,2.41
크리스마스이브,송파구,59456,2.41
어린이날,중구,58563,2.37
어린이날,노원구,58163,2.35
크리스마스이브,마포구,57741,2.34
현충일,송파구,57157,2.31
어린이날,송파구,56233,2.28
광복절,송파구,56216,2.27
삼일절,송파구,55909,2.26
크리스마스,송파구,54452,2.2
삼일절,강동구,53198,2.15
삼일절,강북구,52309,2.12
삼일절,중구,51266,2.07
현충일,강서구,50969,2.06
한글날,종로구,50383,2.04
신정,광진구,50023,2.02
크리스마스이브,노원구,49939,2.02
삼일절,마포구,49772,2.01
신정,금천구,49654,2.01
광복절,강서구,49443,2.0
신정,노원구,48593,1.96
신정,중구,48554,1.96
어린이날,강서구,47428,1.92
개천절,종로구,47154,1.9
신정,강동구,46401,1.87
크리스마스,강북구,45404,1.83
한글날,서초구,45084,1.82
신정,강북구,43618,1.76
신정,마포구,43368,1.75
크리스마스이브,서초구,42492,1.71
신정,강서구,41772,1.69
삼일절,강서구,41389,1.67
광복절,중랑구,39657,1.6
크리스마스이브,강북구,39484,1.59
개천절,서초구,37595,1.51
삼일절,중랑구,36938,1.49
신정,송파구,36325,1.46
크리스마스,중랑구,35689,1.44
어린이날,중랑구,35489,1.43
현충일,중랑구,35253,1.42
현충일,서초구,31129,1.25
광복절,종로구,28092,1.13
신정,중랑구,28043,1.13
현충일,종로구,27911,1.12
어린이날,종로구,27803,1.12
크리스마스이브,중랑구,26745,1.07
크리스마스,서초구,25747,1.03
광복절,서초구,24896,1.0
삼일절,종로구,24474,0.98
어린이날,서초구,23584,0.94
크리스마스,종로구,21988,0.88
삼일절,서초구,21636,0.86
신정,종로구,18872,0.75
크리스마스이브,종로구,18563,0.74
신정,서초구,16351,0.65
개천절,성동구,13765,0.54
한글날,성동구,13349,0.53
현충일,성동구,8378,0.32
한글날,서대문구,8273,0.32
개천절,서대문구,7358,0.28
어린이날,성동구,6960,0.26
크리스마스,성동구,6324,0.24
크리스마스,서대문구,5717,0.21
한글날,은평구,5639,0.21
크리스마스이브,서대문구,5551,0.21
현충일,서대문구,5373,0.2
광복절,성동구,5240,0.19
개천절,은평구,5118,0.19
크리스마스이브,성동구,5054,0.19
크리스마스이브,은평구,4598,0.17
광복절,서대문구,4541,0.17
삼일절,성동구,4396,0.16
어린이날,서대문구,4316,0.16
삼일절,서대문구,3986,0.14
