요일,호선,역명,새벽,출근,오전,점심,오후,퇴근,저녁,심야
수요일,5호선,마곡,0.3,1.2,0.8,0.4,0.8,1.2,0.6,0.5
수요일,5호선,마장,0.1,0.5,0.4,0.3,0.4,0.5,0.3,0.2
수요일,5호선,마천,0.2,0.9,0.4,0.3,0.5,0.5,0.4,0.3
수요일,5호선,마포,0.2,1.5,1.1,0.6,0.9,1.6,0.7,0.7
수요일,5호선,명일,0.2,0.8,0.6,0.4,0.7,0.7,0.5,0.4
수요일,5호선,목동,0.3,1.6,1.1,0.6,1.1,1.6,1.0,0.9
수요일,5호선,미사,0.3,1.6,1.2,0.7,1.3,1.5,1.2,1.0
수요일,5호선,발산,0.3,2.1,1.6,0.9,1.7,2.4,1.2,1.0
수요일,5호선,방이,0.1,0.6,0.5,0.3,0.6,0.7,0.4,0.4
수요일,5호선,방화,0.2,0.7,0.5,0.3,0.5,0.5,0.3,0.3
수요일,5호선,상일동,0.5,1.6,0.9,0.5,0.9,1.2,0.8,0.7
수요일,5호선,서대문,0.2,2.8,1.3,0.7,1.3,2.3,0.8,0.6
수요일,5호선,송정,0.1,0.5,0.4,0.3,0.5,0.5,0.3,0.3
수요일,5호선,신금호,0.1,0.7,0.4,0.3,0.5,0.6,0.4,0.3
수요일,5호선,신길,0.1,0.6,0.3,0.1,0.2,0.5,0.3,0.3
수요일,5호선,신정(은행정),0.4,1.5,0.8,0.4,0.7,1.0,0.6,0.6
수요일,5호선,아차산(어린이대공원후문),0.3,1.3,1.0,0.6,1.2,1.2,0.8,0.6
수요일,5호선,애오개,0.1,0.8,0.5,0.3,0.4,0.6,0.3,0.3
수요일,5호선,양평,0.1,1.0,0.5,0.2,0.4,0.8,0.4,0.3
수요일,5호선,여의나루,0.1,1.3,0.8,0.5,1.1,1.6,0.8,0.6
수요일,5호선,여의도,0.3,3.8,1.8,0.9,1.7,3.7,1.4,1.0
수요일,5호선,영등포구청,0.1,0.5,0.3,0.2,0.3,0.5,0.2,0.2
수요일,5호선,영등포시장,0.1,1.1,0.8,0.5,0.8,1.1,0.5,0.5
수요일,5호선,오금,0.1,0.4,0.2,0.1,0.3,0.4,0.1,0.1
수요일,5호선,오목교(목동운동장앞),0.3,1.8,1.5,0.9,1.6,2.1,1.2,1.0
수요일,5호선,올림픽공원(한국체대),0.1,0.4,0.3,0.2,0.4,0.4,0.2,0.2
수요일,5호선,왕십리(성동구청),0.1,0.4,0.3,0.2,0.4,0.5,0.3,0.3
수요일,5호선,우장산,0.3,1.4,1.0,0.7,1.2,1.2,0.8,0.7
수요일,5호선,을지로4가,0.1,0.7,0.5,0.3,0.5,0.7,0.3,0.2
수요일,5호선,장한평,0.4,2.2,1.4,0.7,1.2,2.0,1.0,0.8
수요일,5호선,종로3가,0.1,0.6,1.1,0.8,1.4,1.5,0.8,0.9
수요일,5호선,천호(풍납토성),0.3,1.2,1.3,0.9,1.7,1.7,1.1,0.8
수요일,5호선,청구,0.0,0.3,0.3,0.1,0.3,0.4,0.2,0.2
수요일,5호선,충정로(경기대입구),0.0,0.6,0.3,0.1,0.3,0.6,0.2,0.2
수요일,5호선,하남검단산,0.1,0.6,0.4,0.3,0.5,0.5,0.3,0.3
수요일,5호선,하남시청(덕풍·신장),0.2,0.7,0.6,0.4,0.7,0.6,0.4,0.4
수요일,5호선,하남풍산,0.1,0.4,0.3,0.2,0.3,0.4,0.2,0.2
수요일,5호선,행당,0.2,0.8,0.5,0.3,0.5,0.6,0.4,0.3
수요일,5호선,화곡,0.7,2.9,1.8,1.0,1.7,2.4,1.6,1.3
수요일,6호선,고려대(종암),0.1,0.8,0.6,0.4,0.7,0.8,0.4,0.5
수요일,6호선,공덕,0.2,1.8,1.3,0.7,1.2,2.0,1.0,0.9
수요일,6호선,광흥창(서강),0.1,0.9,0.7,0.4,0.6,0.8,0.5,0.4
