요일,호선,역명,06시 이전,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시 이후
월요일,1호선,동대문,553,616,1053,1525,1429,1321,1424,1489,1504,1542,1534,1572,1568,1570,1326,996,908,781,477,137
월요일,1호선,동묘앞,143,308,662,1228,848,843,1129,1404,1753,1615,1576,1494,1418,1089,660,419,382,317,168,76
월요일,1호선,서울역,678,2845,6810,13295,8455,5008,5280,5626,5266,4636,5637,6234,9514,12110,6154,4131,3819,2390,1099,210
월요일,1호선,시청,271,1067,3464,8907,3968,1981,1959,1830,1981,1998,2264,2546,4334,7504,2811,2318,2014,1200,416,52
월요일,1호선,신설동,423,733,1942,3620,2017,1318,1248,1296,1391,1309,1471,1732,2389,3299,1608,1052,909,706,366,95
월요일,1호선,제기동,306,716,1763,2912,2083,2146,2484,2654,2827,2867,2727,2628,2439,2464,1351,872,673,486,259,58
월요일,1호선,종각,370,1484,5331,12321,6587,2902,2904,2752,3012,3072,3325,3875,7454,10850,4546,3491,3291,2130,839,95
월요일,1호선,종로3가,242,588,1303,3129,2957,2660,3144,3370,3421,3367,3470,3591,4152,4800,2513,1864,1869,1299,564,120
월요일,1호선,종로5가,209,785,2015,4476,3008,2848,3177,3193,3339,3483,3377,3475,4266,4702,2276,1490,1248,696,267,43
월요일,1호선,청량리(서울시립대입구),571,1112,2720,3876,2623,2399,2759,2930,3026,3110,3243,3291,3310,3792,2254,1468,1250,924,461,124
월요일,2호선,강남,677,2928,8356,15812,14966,7591,5881,5996,7012,7025,7787,8732,13627,19093,12087,8008,8043,6182,2566,609
월요일,2호선,강변(동서울터미널),445,1883,3984,6104,4351,3470,2802,2712,2672,2634,2972,3261,4014,5697,3767,2523,2050,1612,740,212
월요일,2호선,건대입구,637,1416,3210,6191,4169,2826,2676,2952,3184,3243,3598,4263,5719,8218,5593,4131,3987,3596,2049,660
월요일,2호선,교대(법원.검찰청),360,1421,3415,8295,6531,3589,3300,3063,3444,3583,3622,3876,6085,8318,4044,2920,2701,2111,849,233
월요일,2호선,구로디지털단지,1615,2832,9430,17010,9952,4360,3466,3750,4022,3745,4378,5313,8784,14603,8980,5368,4586,3923,1837,593
월요일,2호선,구의(광진구청),578,2198,3618,6433,3549,2027,1672,1798,1855,1831,2224,2848,3681,5536,3636,2342,2079,1807,928,317
월요일,2호선,낙성대(강감찬),530,1429,4352,6797,4218,2360,1902,1967,2017,2001,2319,2582,3660,5916,4334,2855,2502,2196,1192,361
월요일,2호선,당산,423,1179,3072,5473,2572,1430,1264,1313,1369,1294,1537,1922,3266,5189,2868,1920,1763,1471,758,217
월요일,2호선,대림(구로구청),1473,1494,3590,5850,3534,2417,2211,2256,2268,2199,2657,2951,3732,4590,2874,2057,2100,1835,818,230
월요일,2호선,도림천,32,90,294,374,175,129,97,147,121,132,157,174,210,287,176,110,91,61,35,16
월요일,2호선,동대문역사문화공원(DDP),264,541,1246,2527,1779,1648,1623,1690,1697,1820,1981,2230,2654,2973,2285,1657,1440,1137,621,216
월요일,2호선,뚝섬,222,1064,2528,7177,4608,2070,1704,1786,1926,1988,2295,2791,4295,7252,3581,2162,1814,1190,510,141
월요일,2호선,문래,254,1011,3626,8153,3734,1691,1424,1613,1613,1562,1796,2176,3855,7269,3245,1854,1805,1347,610,186
월요일,2호선,방배,213,827,2065,4276,2850,1704,1554,1633,1572,1721,1898,2093,2892,4014,2098,1477,1334,1117,494,153
월요일,2호선,봉천,650,1431,4089,5985,3543,2036,1816,1906,1938,1902,2274,2493,3134,4786,3642,2246,1949,1672,845,302
월요일,2호선,사당,639,2337,5334,7338,4828,3214,3193,3323,3248,3400,3826,4583,6977,10116,6521,4492,4202,3700,1895,584
월요일,2호선,삼성(무역센터),365,2025,6677,15115,10414,4669,3595,3539,4027,4231,4792,5585,10075,14037,7076,4917,3908,2440,729,205
월요일,2호선,상왕십리,255,781,2307,3999,2063,1237,1066,1166,1155,1152,1360,1574,2200,3262,2186,1304,1132,929,481,173
월요일,2호선,서울대입구(관악구청),1353,2264,6471,9804,6626,4133,3388,3549,3796,3688,4236,4777,6427,9878,7167,4708,4278,3897,2049,737
월요일,2호선,서초,238,1180,2925,6035,4414,2363,1766,1679,1809,1916,2217,2351,3722,4919,2398,1595,1476,959,376,94
월요일,2호선,선릉,396,2190,6278,13866,10551,5548,4167,4172,4832,4856,5581,6593,10343,14824,7764,4760,4098,3068,1181,319
월요일,2호선,성수,355,1650,4099,12392,7315,3739,3193,3401,3806,4092,4435,5127,7715,12934,6328,4051,3131,2066,894,308
월요일,2호선,시청,114,908,3473,10188,4315,1748,1757,1652,1844,1878,2091,2378,4887,8026,2980,2202,1896,1167,463,94
월요일,2호선,신답,54,109,298,545,215,121,106,110,114,122,151,197,258,493,312,152,148,114,64,23
월요일,2호선,신당,276,738,1877,3308,1888,1270,1245,1336,1368,1384,1556,1805,2317,3231,2129,1390,1223,1034,550,180
월요일,2호선,신대방,990,1685,4258,6158,3586,2003,1734,1814,1860,1842,2253,2519,3275,4753,3841,2522,2328,2084,1019,376
월요일,2호선,신도림,1742,2964,7686,10535,6106,3932,3792,3912,4068,4027,4605,5215,7372,11136,7059,4693,4020,3307,1834,764
월요일,2호선,신림,1506,3286,8643,12317,7333,4116,3648,3828,3930,3946,4568,5338,6884,10978,8935,5786,5148,4508,2513,910
월요일,2호선,신설동,62,134,411,880,498,353,371,402,437,416,424,438,573,695,366,238,202,156,87,40
월요일,2호선,신정네거리,376,849,2282,2264,1183,835,807,839,823,794,948,1181,1570,2384,1702,902,792,648,352,123
월요일,2호선,신촌,346,1196,3000,5614,5131,3938,3569,3968,4366,4023,4263,4941,6404,7525,4976,3815,3764,3402,1671,435
월요일,2호선,아현,215,619,1751,2496,1390,1004,882,965,962,968,1120,1320,1595,2100,1467,970,815,667,330,110
월요일,2호선,양천구청,235,614,1579,1586,823,558,539,599,575,524,626,755,1064,1567,1170,648,566,452,269,102
월요일,2호선,역삼,394,2151,7753,17474,14088,5756,3556,3388,3874,3781,4393,5285,11250,14466,8085,4565,3872,2531,1020,252
월요일,2호선,영등포구청,335,1169,3426,7432,3346,1763,1686,1732,1786,1826,2051,2374,3635,6553,2997,1943,1686,1247,630,210
월요일,2호선,왕십리(성동구청),292,705,1595,2932,1775,1151,1134,1233,1300,1358,1517,1823,2410,3286,2002,1481,1452,1358,768,261
월요일,2호선,용답,105,175,445,736,490,291,254,282,299,271,313,410,486,652,400,263,276,224,116,53
월요일,2호선,용두(동대문구청),54,108,351,627,323,254,259,252,288,293,325,333,380,568,330,193,174,106,59,24
월요일,2호선,을지로3가,121,929,3478,8142,3619,1814,1683,1628,1787,1826,2004,2458,4759,7261,3079,2115,2036,1550,775,177
월요일,2호선,을지로4가,73,640,1790,3761,2062,1462,1483,1372,1407,1452,1567,1748,3010,3385,1532,951,820,607,316,94
월요일,2호선,을지로입구,193,1374,6228,15476,7399,4180,3640,3498,3882,3922,4362,4989,8743,13919,6502,5398,3869,2919,1226,249
월요일,2호선,이대,165,652,1858,3477,2719,2133,1600,1939,2028,1689,2032,2228,3090,3458,2264,1653,1598,1356,676,193
월요일,2호선,잠실(송파구청),699,3258,8360,14138,10595,6899,6426,6376,6485,6704,7786,9009,12189,17065,11154,8711,7394,5155,2058,468
월요일,2호선,잠실나루,259,1266,2645,3675,2240,1648,1489,1540,1512,1514,1632,2009,2554,2877,1769,1125,953,763,370,124
월요일,2호선,잠실새내,268,1093,3328,4704,3214,2094,1968,2061,2154,2185,2542,2763,3527,4874,3396,2290,1976,1750,828,261
월요일,2호선,종합운동장,105,587,1408,2039,1132,738,651,753,760,800,912,992,1322,1856,977,667,674,659,224,82
월요일,2호선,충정로(경기대입구),160,519,1775,3611,1708,818,776,750,816,789,860,1012,1872,2846,1214,808,748,551,267,91
월요일,2호선,한양대,56,343,725,2838,2478,2019,1094,1908,1565,1485,1598,1801,2520,2231,1094,848,888,634,359,113
월요일,2호선,합정,428,1174,3071,6164,4556,2562,2286,2394,2643,2583,2745,3264,4936,7983,5195,3324,3148,2745,1406,426
월요일,2호선,홍대입구,995,1805,4180,7871,7419,5503,5830,6601,7213,7073,7926,9179,11346,14364,10763,8270,8078,7220,3732,938
월요일,3호선,가락시장,137,530,1418,2099,1162,872,849,870,861,890,1023,1100,1477,2140,1182,768,634,528,224,76
월요일,3호선,경복궁(정부서울청사),151,838,2333,6510,3991,2687,2606,2555,2723,2732,2978,3270,4148,5598,2417,1758,1568,1052,413,90
월요일,3호선,경찰병원,129,477,1438,2341,1233,777,634,611,695,660,736,721,1209,1788,1035,622,510,424,191,60
월요일,3호선,고속터미널,387,1619,2845,4655,5152,5060,5382,5468,5544,6029,6603,6692,7420,7534,5479,4811,3076,1939,764,146
월요일,3호선,교대(법원.검찰청),89,476,1311,2826,2106,1222,1099,1112,1314,1432,1480,1650,2649,3651,1705,1332,1243,984,358,82
월요일,3호선,구파발,564,1906,4593,4431,2533,1925,1852,1884,1886,1954,2140,2580,3046,4083,3301,1912,1594,1302,651,300
월요일,3호선,금호,192,506,1341,1916,1114,713,647,673,687,678,785,912,1159,1612,1140,727,578,511,243,81
월요일,3호선,남부터미널(예술의전당),170,1498,4020,8608,4726,2805,2429,2353,2545,2652,2879,3363,5520,7356,3545,2287,1897,1266,544,131
월요일,3호선,녹번,400,1211,3391,3863,1978,1211,1081,1108,1091,1071,1215,1517,1977,3221,2508,1409,1166,952,473,147
월요일,3호선,대청,199,775,2152,2728,1303,888,785,834,882,879,1176,1242,1778,2337,1460,958,805,751,326,111
월요일,3호선,대치,145,848,2027,2348,1408,1004,920,1043,1147,1164,1389,1657,2173,2398,1708,1033,1106,1667,339,100
월요일,3호선,도곡,64,355,1116,1496,1018,588,510,483,504,519,635,729,1036,1244,794,495,430,338,129,80
월요일,3호선,독립문,229,494,1269,1644,1059,899,788,818,784,767,876,1017,1086,1249,812,538,451,355,171,79
월요일,3호선,동대입구,95,430,811,2600,1535,1406,1217,1001,1348,1093,1098,1325,1930,2326,1087,1038,848,570,219,60
월요일,3호선,매봉,96,640,1902,4244,1901,1090,1025,954,982,1013,1213,1334,2277,3586,1458,935,883,617,234,70
월요일,3호선,무악재,94,294,866,1069,581,406,358,362,358,362,410,495,635,936,725,431,354,272,172,58
월요일,3호선,불광,427,991,2674,3788,2262,1624,1592,1684,1725,1707,1917,2096,2403,3503,2439,1488,1226,976,497,158
월요일,3호선,수서,287,1264,3245,4267,2462,2049,1624,1918,1726,1574,2093,2297,3018,3967,2348,1749,1246,1118,472,138
월요일,3호선,신사,175,860,2231,5200,6038,2974,2327,2228,2502,2642,2798,3124,4857,7076,4533,2575,2359,1834,793,217
월요일,3호선,안국,148,1153,4359,5588,3694,2664,2890,2779,2794,2865,2988,3741,5424,5696,2393,1752,1445,806,286,64
월요일,3호선,압구정,202,1194,2676,6762,6371,3520,3113,2842,3052,3270,3606,3846,5314,7315,4616,2952,2168,1510,524,143
월요일,3호선,약수,289,640,1657,2869,1828,1187,1142,1165,1180,1207,1410,1556,1989,2864,1705,1174,1043,854,406,151
월요일,3호선,양재(서초구청),329,2216,6239,11738,5994,2961,2579,2456,2682,2784,3222,3863,7176,10764,5433,3582,3154,2079,773,170
월요일,3호선,연신내,1049,2402,5826,6852,4074,2913,2891,3036,3000,2938,3447,4020,4584,6511,5254,3091,2587,2156,1208,432
월요일,3호선,오금,189,471,1555,1894,834,495,422,456,456,441,528,640,938,1442,817,541,441,445,195,72
월요일,3호선,옥수,172,542,1273,1878,1202,808,812,824,854,899,986,1130,1481,1953,1366,920,767,628,270,84
월요일,3호선,을지로3가,65,447,1765,3761,1646,934,856,806,886,908,995,1200,2308,3605,1514,977,877,662,321,69
월요일,3호선,일원,172,853,2525,2123,1514,1344,1156,1185,1175,1252,1387,1730,2098,1656,1159,724,604,576,207,70
월요일,3호선,잠원,86,519,876,1148,661,472,449,450,471,450,579,676,830,922,611,393,375,342,141,49
월요일,3호선,종로3가,78,305,785,2036,1970,1655,1404,1327,1304,1359,1430,1594,2121,2832,1446,867,843,638,300,69
월요일,3호선,지축,166,747,1575,1731,866,560,507,569,580,559,706,869,1102,1564,1215,780,641,531,256,61
월요일,3호선,학여울,31,160,343,530,271,174,149,163,190,169,200,248,355,456,240,161,147,106,46,17
월요일,3호선,홍제,446,1228,3177,3874,2371,1711,1590,1675,1590,1649,1872,2177,2600,3469,2628,1571,1272,1023,525,158
월요일,4호선,길음,486,1714,4363,4906,2842,1886,1786,1785,1789,1810,2030,2526,3157,4403,3197,1977,1649,1594,752,232
월요일,4호선,남태령,30,114,308,386,173,108,105,103,102,101,138,166,257,231,120,89,66,45,22,6
월요일,4호선,노원,606,1660,3835,5010,3266,2366,2363,2596,2675,2619,3016,3429,4260,5828,4252,2796,2392,2083,1091,382
월요일,4호선,당고개,341,914,2196,1845,1089,843,803,807,802,783,869,995,1132,1498,1255,780,650,540,343,149
월요일,4호선,동대문,288,672,1555,3045,2951,2846,2759,2700,2782,2993,3092,3322,3987,2941,1967,1390,1138,841,468,120
월요일,4호선,동대문역사문화공원(DDP),343,716,1597,3323,2150,1701,1615,1596,1679,1814,2001,2237,3168,3966,2704,1929,1651,1304,716,219
월요일,4호선,동작(현충원),23,154,250,374,241,208,222,262,211,208,248,274,370,382,211,187,135,83,46,23
월요일,4호선,명동,105,986,2510,5918,4614,3304,3383,3596,3573,3798,4455,5036,5767,7656,4654,3855,3343,2694,1160,186
월요일,4호선,미아(서울사이버대학),498,1066,2588,3625,2007,1445,1476,1432,1450,1519,1700,2048,2340,2973,2102,1257,1072,911,478,152
월요일,4호선,미아사거리,691,1786,4566,5163,3178,2298,2226,2283,2306,2431,3023,3342,3781,5338,3975,2556,1929,1600,825,227
월요일,4호선,사당,452,1716,3775,4797,3370,2160,2040,2040,1903,1890,2083,2495,3619,5217,3250,2204,2070,1749,918,268
월요일,4호선,삼각지,39,295,819,1327,656,468,468,500,522,503,565,662,1048,1721,872,631,622,522,258,67
월요일,4호선,상계,613,1924,4428,3662,2124,1537,1472,1686,1573,1509,1790,2064,2522,3486,2974,1774,1474,1363,722,253
월요일,4호선,서울역,215,902,2300,4593,2803,1610,1615,1631,1576,1532,1704,1922,3243,4008,1979,1307,1145,823,374,106
월요일,4호선,성신여대입구(돈암),307,1069,2725,3810,2486,1821,2139,2037,2088,2262,2304,2764,3462,4388,3142,2236,2091,1808,990,319
월요일,4호선,수유(강북구청),960,2187,5321,6913,4182,2824,2842,2890,2960,3003,3417,4053,4819,7096,5400,3323,2811,2416,1441,415
월요일,4호선,숙대입구(갈월),151,634,1765,3283,2008,1443,1317,1227,1318,1349,1540,1893,2574,3458,1876,1341,1294,1062,519,115
월요일,4호선,신용산,107,738,2276,4972,3514,1633,1566,1595,1675,1581,1900,2326,3702,5617,2743,1894,1584,1109,488,104
월요일,4호선,쌍문,1022,2525,5790,6151,3481,2407,2215,2337,2291,2199,2697,3087,3855,5434,4686,2735,2201,1935,1084,379
월요일,4호선,이촌(국립중앙박물관),86,486,1081,1753,1105,894,908,1033,1046,1080,1209,1364,1534,1739,852,567,524,365,173,57
월요일,4호선,창동,831,2134,4563,4908,3004,2354,2363,2574,2638,2649,3062,3426,4047,5330,4024,2476,2069,1734,887,308
월요일,4호선,총신대입구(이수),272,1113,2772,4231,2472,1821,1769,1869,1984,1999,2278,2596,3256,4602,2775,1883,1524,1229,585,167
월요일,4호선,충무로,221,1107,3097,8570,5240,3321,2949,2717,2877,2894,3025,3607,5491,8276,3884,2831,2636,2043,1140,305
월요일,4호선,한성대입구(삼선교),305,835,1911,2652,1868,1354,1255,1319,1364,1362,1501,1939,2229,2516,1774,1230,1083,936,483,203
월요일,4호선,혜화,211,1155,2858,5833,4314,3513,3355,3520,3862,3945,4175,4441,5346,6231,3487,2653,2941,2302,1084,259
월요일,4호선,회현(남대문시장),81,982,2560,6616,4168,3485,3530,3423,3541,3725,3852,3982,4893,5667,2665,2140,1023,638,264,66
월요일,5호선,강동,472,1268,3579,5036,2452,1566,1422,1463,1511,1480,1704,1979,2838,4042,2534,1604,1358,1058,567,226
월요일,5호선,강일,141,524,1476,1357,698,518,428,476,449,431,551,619,839,1152,945,533,446,372,223,81
월요일,5호선,개롱,177,489,1305,1589,795,586,555,579,580,603,685,916,1095,1356,1059,598,462,456,205,68
월요일,5호선,개화산,179,538,1249,1639,736,497,495,534,499,491,541,654,952,1334,863,492,448,372,175,63
월요일,5호선,거여,279,838,2311,2555,1230,789,733,756,801,764,915,1197,1483,2183,1657,886,691,691,309,102
월요일,5호선,고덕,238,890,2114,1988,1265,1126,1038,1015,1124,1080,1258,1609,1705,1946,1488,808,752,703,247,103
월요일,5호선,공덕,110,522,2301,4881,2250,1100,1089,1048,1179,1030,1234,1460,2741,4630,1922,1311,1200,916,392,90
월요일,5호선,광나루(장신대),248,913,2085,2965,1602,1141,1067,1072,1117,1068,1266,1498,1805,2572,1537,984,972,799,354,95
월요일,5호선,광화문(세종문화회관),95,1336,4101,12504,5540,2482,2503,2293,2633,2569,2777,3313,5992,10724,3850,2737,2517,1410,498,82
월요일,5호선,군자(능동),301,639,1773,3067,1506,904,828,881,915,879,1021,1270,1897,3098,1839,1212,1063,918,499,235
월요일,5호선,굽은다리(강동구민회관앞),308,653,1712,2132,1164,852,860,904,900,889,930,1161,1314,2015,1408,894,689,640,287,101
월요일,5호선,길동,218,535,1262,1915,1153,855,850,902,902,894,1017,1182,1331,1729,1164,698,551,444,236,94
월요일,5호선,김포공항,165,578,1551,1902,889,828,977,1008,1108,1164,1211,1195,1478,1730,1012,716,595,494,253,33
월요일,5호선,까치산,1003,2099,5469,6828,3420,2106,1969,2104,2068,1997,2423,2865,3584,6031,4390,2689,2352,1835,997,329
월요일,5호선,답십리,416,1178,3153,4885,2103,1202,1110,1182,1228,1175,1394,1722,2526,3957,2178,1365,1105,901,450,159
월요일,5호선,동대문역사문화공원(DDP),16,141,495,1423,582,267,235,209,211,234,248,327,670,1069,436,249,208,156,87,22
월요일,5호선,둔촌동,198,874,1517,1957,1087,764,718,780,820,821,969,1297,1560,1995,1232,654,622,469,225,72
월요일,5호선,마곡,288,1155,1868,3448,1879,936,822,819,897,903,1067,1561,2325,3066,1695,1007,826,641,278,94
월요일,5호선,마장,120,405,954,1451,807,555,535,623,565,530,615,729,851,1177,707,480,403,336,158,53
월요일,5호선,마천,308,707,2064,1785,824,547,504,572,554,497,669,769,905,1421,1114,553,518,441,227,88
월요일,5호선,마포,157,693,2157,4695,2261,1266,1212,1173,1257,1115,1331,1554,2567,4322,1902,1348,1251,936,442,105
월요일,5호선,명일,254,686,1739,1806,1005,802,756,747,785,793,884,1143,1131,1896,1398,790,607,604,269,86
월요일,5호선,목동,403,1101,3248,4006,2026,1342,1247,1307,1359,1322,1538,1911,2603,4436,2714,1622,1509,1366,584,184
월요일,5호선,미사,367,1257,3622,3734,2046,1405,1291,1439,1382,1442,1632,1959,2575,3766,3322,1909,1545,1296,703,269
월요일,5호선,발산,228,1025,3027,6565,3328,1868,1805,1855,1950,2057,2287,2628,4224,6034,3020,2052,1756,1338,604,158
월요일,5호선,방이,135,447,1163,1740,856,613,558,650,600,653,787,868,1276,1657,1041,684,659,594,228,59
월요일,5호선,방화,212,627,1425,1618,836,623,619,637,656,622,702,849,955,1273,986,589,479,415,223,86
월요일,5호선,상일동,465,1678,3791,3147,1593,1121,970,1117,1123,1032,1335,1452,2042,3094,2481,1368,1158,908,466,237
월요일,5호선,서대문,160,973,3915,8614,2622,1484,1440,1386,1505,1474,1698,2072,3792,6302,2039,1507,1303,886,347,72
월요일,5호선,송정,197,490,1062,1349,805,592,592,622,575,594,636,775,919,1216,863,544,470,399,225,83
월요일,5호선,신금호,136,408,1204,1745,871,524,509,552,547,563,646,872,1000,1494,974,594,505,395,204,77
월요일,5호선,신길,114,284,961,1682,665,329,281,286,287,256,294,407,757,1446,691,520,481,402,212,64
월요일,5호선,신정(은행정),523,1114,2938,3630,1657,917,813,859,858,834,957,1232,1633,2560,1737,1084,937,819,413,130
월요일,5호선,아차산(어린이대공원후문),409,975,2328,3531,1722,1207,1185,1272,1278,1361,1561,1770,2103,3097,1965,1264,1031,810,414,123
월요일,5호선,애오개,114,407,1224,2177,959,536,502,535,591,560,637,681,1040,1782,843,514,440,352,172,73
월요일,5호선,양평,137,485,1522,3039,1094,520,452,464,488,455,536,693,1258,2422,1040,652,535,428,212,63
월요일,5호선,여의나루,94,523,2198,3555,1330,766,773,812,967,1031,1276,1488,2955,3787,1813,1566,1175,796,316,70
월요일,5호선,여의도,212,1229,7030,10249,3832,1705,1817,1696,2018,1962,2222,2754,7130,8906,3550,2575,2012,1168,431,107
월요일,5호선,영등포구청,74,223,714,1794,699,357,352,355,367,354,411,468,762,1671,629,401,356,264,129,36
월요일,5호선,영등포시장,148,461,1694,3311,1540,916,857,1024,1095,1003,1089,1263,1789,3030,1460,910,791,632,308,72
월요일,5호선,오금,61,248,721,1228,481,303,286,306,280,313,410,447,642,960,431,271,224,208,100,37
월요일,5호선,오목교(목동운동장앞),264,1008,3270,4826,2832,1828,1738,1773,1841,1898,2088,2582,3533,5352,3026,2178,1739,1509,581,144
월요일,5호선,올림픽공원(한국체대),95,397,817,1022,574,483,426,457,450,452,561,607,720,807,522,337,305,246,119,36
월요일,5호선,왕십리(성동구청),103,210,511,1107,549,404,417,438,469,512,537,650,789,1210,666,471,440,365,161,78
월요일,5호선,우장산,324,1172,2972,3295,1710,1291,1284,1350,1329,1336,1586,1954,2120,3026,2170,1276,1057,990,471,133
월요일,5호선,을지로4가,35,281,902,2032,928,592,589,570,572,594,644,731,1334,1868,718,462,376,243,119,30
월요일,5호선,장한평,356,1334,3439,6220,2711,1463,1239,1373,1380,1346,1547,2013,3120,5195,2890,1632,1372,1115,570,182
월요일,5호선,종로3가,60,326,774,2155,1679,1433,1554,1666,1687,1683,1842,1995,2510,3325,1733,1368,1406,1060,557,122
월요일,5호선,천호(풍납토성),337,1093,2077,3221,2118,1595,1696,1849,1940,1964,2290,2655,3209,4041,2690,1840,1415,1111,540,171
월요일,5호선,청구,79,176,462,1045,569,334,286,304,323,324,350,470,594,992,580,352,276,250,132,34
월요일,5호선,충정로(경기대입구),46,192,936,1853,744,286,308,299,330,338,332,420,962,1586,562,369,319,218,106,33
월요일,5호선,하남검단산,163,525,1244,1238,717,608,570,644,616,580,801,757,919,1076,895,598,480,394,213,80
월요일,5호선,하남시청(덕풍·신장),226,725,1528,1661,941,782,756,768,836,760,974,1135,1080,1493,1201,681,584,500,253,116
월요일,5호선,하남풍산,89,311,726,1149,654,414,403,375,415,413,493,613,697,993,604,344,291,251,121,49
월요일,5호선,행당,178,578,1541,2166,1006,645,599,622,594,630,742,833,1065,1672,1062,684,589,475,232,76
월요일,5호선,화곡,969,2101,5495,7289,3556,2129,1988,2117,2061,2016,2330,2965,3755,6516,4340,2554,2172,1750,939,291
월요일,6호선,고려대(종암),177,490,1412,2278,1119,842,711,695,886,778,796,1206,1439,1825,1146,728,779,625,356,117
월요일,6호선,공덕,284,801,2690,5696,2868,1538,1464,1451,1474,1478,1737,2049,3437,5284,2517,1723,1551,1163,588,167
월요일,6호선,광흥창(서강),160,526,1536,2563,1404,898,843,874,796,778,901,1005,1440,2191,1270,761,668,523,243,80
월요일,6호선,구산,250,592,1596,1876,981,627,653,668,630,606,750,942,954,1261,1063,559,462,404,203,71
월요일,6호선,녹사평(용산구청),66,252,561,1039,557,402,359,394,431,404,492,624,803,1074,648,481,472,351,172,48
월요일,6호선,대흥(서강대앞),132,425,1334,2348,1331,1109,829,871,1166,822,1019,1207,1581,2119,1119,790,716,650,305,91
월요일,6호선,독바위,104,244,701,658,324,235,212,248,222,213,263,310,376,598,492,274,214,191,111,40
월요일,6호선,돌곶이,337,839,2003,2532,1270,832,802,932,853,774,963,1193,1454,1978,1546,846,671,613,331,114
월요일,6호선,동묘앞,221,362,748,1491,1097,894,952,977,974,1054,1126,1224,1336,1531,996,677,586,502,353,99
월요일,6호선,디지털미디어시티,368,1164,3613,5281,2401,1054,934,961,924,882,1044,1530,2595,4181,2382,1290,1070,847,453,171
월요일,6호선,마포구청,301,856,2386,3844,1998,1193,1138,1209,1227,1126,1302,1462,1960,3204,1954,1224,1038,891,469,141
월요일,6호선,망원,242,599,1561,2883,2166,1388,1422,1559,1627,1569,1778,1966,2366,3234,2182,1381,1202,939,531,138
월요일,6호선,버티고개,42,130,333,533,322,213,175,198,196,194,252,253,335,501,326,198,167,141,77,24
월요일,6호선,보문,193,510,1387,2176,1057,612,595,599,620,588,690,852,1113,1681,1046,682,640,561,334,117
월요일,6호선,봉화산(서울의료원),256,803,2328,2169,1011,714,664,719,696,653,786,923,1248,1726,1431,786,631,586,288,120
월요일,6호선,불광,82,257,654,898,535,407,435,447,486,489,584,625,720,993,654,411,320,246,128,47
월요일,6호선,삼각지,76,442,974,1723,780,500,481,505,541,503,578,715,1104,1668,814,601,547,475,259,70
월요일,6호선,상수,196,367,703,1601,1526,937,798,924,1039,968,1000,1295,1594,2131,1398,1038,1010,942,614,181
월요일,6호선,상월곡(한국과학기술연구원),230,452,1191,1699,907,718,589,533,585,549,600,772,867,1149,902,506,432,374,227,84
월요일,6호선,새절(신사),462,1060,2636,3161,1596,1008,978,1018,1059,960,1194,1439,1698,2519,1921,1091,897,745,423,148
월요일,6호선,석계,436,994,2454,2821,1464,1048,1023,1083,1113,1055,1245,1508,1762,2701,2110,1191,990,877,493,165
월요일,6호선,신당,307,507,905,1954,1227,780,721,746,720,739,856,966,1160,1662,1342,902,752,672,516,155
월요일,6호선,안암(고대병원앞),115,391,1138,2580,2032,2110,1534,1347,1612,1621,1466,1999,2509,2326,1436,1108,1178,1056,638,187
월요일,6호선,약수,54,158,432,1003,566,353,339,322,340,333,400,434,601,904,485,310,288,221,111,34
월요일,6호선,역촌,102,333,796,997,482,328,343,372,361,346,375,475,589,898,693,361,320,257,153,56
월요일,6호선,월곡(동덕여대),297,721,2092,3134,1648,1137,1023,1021,1074,1082,1187,1581,1816,2782,1835,1071,916,725,423,148
월요일,6호선,월드컵경기장(성산),84,244,525,708,470,456,507,536,581,641,691,744,714,827,548,354,287,210,96,32
월요일,6호선,응암,518,1325,3413,4379,2233,1425,1334,1442,1416,1393,1650,1966,2511,3886,2862,1709,1325,1130,645,193
월요일,6호선,이태원,251,566,808,1705,1397,948,812,850,929,964,1151,1471,1692,2172,1555,1164,1044,869,548,154
월요일,6호선,증산(명지대앞),323,760,1812,2312,1291,810,796,811,818,785,908,1106,1388,2183,1506,871,789,633,331,112
월요일,6호선,창신,119,290,878,930,462,286,244,266,271,260,317,365,417,570,432,291,241,196,112,36
월요일,6호선,청구,87,220,604,1353,698,339,282,274,301,287,328,420,491,854,531,323,272,219,112,38
월요일,6호선,태릉입구,212,407,948,1316,719,511,584,533,554,579,617,739,868,1351,984,560,504,427,280,124
월요일,6호선,한강진,54,417,1113,2038,1266,715,740,673,793,788,999,1271,1708,2149,1213,774,669,454,156,58
월요일,6호선,합정,173,449,1229,2603,1657,973,1001,1018,1130,1120,1261,1444,1977,3223,1977,1367,1347,1097,604,160
월요일,6호선,화랑대(서울여대입구),325,1130,2930,2889,1419,913,826,810,877,791,1006,1214,1543,2103,1573,902,758,636,361,137
월요일,6호선,효창공원앞,112,381,1060,2171,1123,695,601,606,654,580,631,842,1078,1781,938,574,474,406,224,84
월요일,7호선,가산디지털단지,470,1641,7630,18473,10196,2984,1976,2112,2267,2367,2726,3631,10185,15075,6398,3522,2515,1436,652,152
