요일,호선,역명,06시 이전,06시-07시,07시-08시,08시-09시,09시-10시,10시-11시,11시-12시,12시-13시,13시-14시,14시-15시,15시-16시,16시-17시,17시-18시,18시-19시,19시-20시,20시-21시,21시-22시,22시-23시,23시-24시,24시 이후
일요일,2호선,아현,95,220,285,486,722,860,745,919,966,896,903,943,907,790,658,630,571,461,270,2
일요일,2호선,양천구청,116,153,228,388,498,495,457,545,540,514,536,573,580,496,406,370,326,261,174,3
일요일,2호선,역삼,135,525,670,1124,1514,1880,1604,2125,2155,2088,2066,2013,1957,1652,1325,1340,1274,957,453,4
일요일,2호선,영등포구청,163,407,394,729,953,1256,1251,1596,1635,1552,1537,1547,1478,1300,1070,950,921,726,434,22
일요일,2호선,왕십리(성동구청),148,282,350,562,820,956,1116,1344,1434,1376,1451,1498,1575,1494,1212,1171,1143,1018,605,6
일요일,2호선,용답,43,75,92,164,217,253,247,266,288,288,290,300,310,285,197,214,217,179,135,3
일요일,2호선,용두(동대문구청),21,37,58,93,168,201,210,228,257,263,256,240,225,198,157,134,124,75,50,5
일요일,2호선,을지로3가,79,411,372,932,1196,1642,1867,1756,1984,1923,1827,2040,1896,1711,1338,1263,1180,1011,522,6
일요일,2호선,을지로4가,45,162,192,359,582,827,935,946,982,967,952,965,933,787,633,576,508,404,240,3
일요일,2호선,을지로입구,137,501,704,1547,2674,2990,3330,3346,3696,3835,4009,4333,4393,4096,3490,4065,2459,2048,893,180
일요일,2호선,이대,101,240,330,650,937,1247,1241,1478,1502,1505,1485,1527,1517,1279,1108,1088,1084,959,583,4
일요일,2호선,잠실(송파구청),349,1317,1656,3081,5075,5766,6942,7775,8633,8960,9530,10137,9933,8950,7744,8403,7198,4288,1675,6
일요일,2호선,잠실나루,93,259,308,491,684,769,792,898,970,940,968,998,985,794,647,574,502,417,246,2
일요일,2호선,잠실새내,141,358,482,866,1361,1487,1748,2046,2186,2005,2137,2248,2275,2066,1761,1675,1583,1334,687,3
일요일,2호선,종합운동장,66,435,502,616,896,1227,1254,2298,3167,1819,2025,2605,3338,1472,1235,2259,1478,441,176,8
일요일,2호선,충정로(경기대입구),91,190,195,395,494,628,607,704,785,732,681,704,680,598,484,424,382,306,192,8
일요일,2호선,한양대,39,122,145,292,275,337,492,547,573,614,644,626,587,566,388,366,357,346,243,2
일요일,2호선,합정,483,610,688,1160,1876,2471,2951,3546,3949,3795,3970,4264,4254,3720,3262,3122,3074,2469,1307,68
일요일,2호선,홍대입구,1592,1379,1285,1942,3576,5314,7499,9073,10152,10483,10918,11478,11752,10910,9632,9209,9144,7503,3811,365
일요일,3호선,가락시장,55,164,186,350,439,569,593,686,735,709,726,723,693,637,477,459,387,285,160,17
일요일,3호선,경복궁(정부서울청사),61,290,464,1121,2141,2514,2782,3086,3483,3494,3323,3223,2819,2136,1520,1282,1073,639,246,14
일요일,3호선,경찰병원,53,142,193,316,408,423,378,458,478,464,469,456,471,428,341,342,306,226,136,14
일요일,3호선,고속터미널,239,919,1196,1999,3687,4373,5584,6196,7113,7918,8586,9161,8781,8154,7114,7278,4953,2976,1141,19
일요일,3호선,교대(법원.검찰청),53,173,214,305,474,491,533,671,747,722,706,760,798,742,634,626,552,436,172,4
일요일,3호선,구파발,193,456,704,1258,1729,1850,1699,1904,2049,2058,2121,2199,2000,1794,1445,1236,1070,845,507,57
일요일,3호선,금호,85,192,243,440,588,651,606,638,696,678,669,696,678,614,521,464,396,318,164,2
일요일,3호선,남부터미널(예술의전당),87,522,623,998,1577,1906,2050,2344,2718,2719,2754,2993,2968,2664,2374,1941,1388,1038,412,13
일요일,3호선,녹번,147,318,456,708,1020,1126,974,1076,1113,1068,1059,1106,1042,1012,850,775,703,570,314,13
일요일,3호선,대청,85,210,267,432,576,653,632,697,736,723,736,744,777,693,538,518,453,392,202,17
일요일,3호선,대치,66,288,310,609,730,711,695,1131,1329,862,841,865,1505,930,609,554,646,815,189,8
일요일,3호선,도곡,27,91,142,245,321,316,357,405,412,365,368,371,398,324,252,242,230,186,82,26
일요일,3호선,독립문,113,173,236,468,982,1067,782,924,967,906,907,817,728,532,395,346,285,222,120,54
일요일,3호선,동대입구,62,292,394,824,931,1090,1265,1129,1336,1369,1408,1340,1228,1261,912,972,609,465,165,12
일요일,3호선,매봉,51,193,217,394,596,610,611,701,751,736,735,778,726,596,501,477,487,320,149,11
일요일,3호선,무악재,46,83,120,224,336,368,329,352,375,359,374,380,367,317,261,223,207,164,107,1
일요일,3호선,불광,178,379,538,1010,1637,1604,1407,1599,1794,1762,1780,1811,1665,1435,1198,1019,910,675,347,35
일요일,3호선,수서,124,398,650,1062,1464,1873,1475,1903,1685,1459,1840,1913,2000,2011,1425,1472,1204,1064,377,35
일요일,3호선,신사,182,463,441,615,1118,1535,1654,1897,2090,2124,2066,2318,2358,1942,1629,1607,1568,1161,517,5
일요일,3호선,안국,65,275,511,1116,1772,2333,2695,3006,3261,3415,3359,3333,3017,2334,1670,1328,946,523,185,12
일요일,3호선,압구정,104,578,678,1368,1988,2360,2304,2373,2576,2507,2346,2527,2476,2196,1772,2046,1382,839,284,31
일요일,3호선,약수,140,282,322,673,818,1016,939,1073,1164,1186,1115,1188,1143,1053,868,819,731,546,290,63
일요일,3호선,양재(서초구청),143,754,833,1346,1770,1984,2047,2223,2748,2337,2338,2521,2495,2339,1888,1894,1584,1013,436,28
일요일,3호선,연신내,454,868,1090,1838,2641,2692,2480,2834,3046,3045,3140,3232,3210,2966,2541,2183,2143,1652,919,61
일요일,3호선,오금,65,130,166,330,441,507,339,477,467,437,411,450,470,398,299,285,289,231,142,22
일요일,3호선,옥수,75,201,262,433,652,690,723,778,882,860,900,920,952,826,673,621,543,367,197,16
일요일,3호선,을지로3가,34,135,165,369,504,708,718,737,835,845,830,898,880,780,610,542,493,413,201,3
일요일,3호선,일원,53,224,291,439,514,726,569,800,700,730,668,695,648,541,404,346,313,263,118,10
일요일,3호선,잠원,40,128,123,249,328,322,371,392,439,374,393,418,430,348,264,238,221,195,97,1
일요일,3호선,종로3가,59,109,144,270,522,792,910,1049,1101,1151,1131,1125,1069,960,802,682,655,514,233,20
일요일,3호선,지축,53,196,230,417,535,585,520,589,629,602,645,634,607,558,470,440,399,281,161,2
일요일,3호선,학여울,18,50,61,138,304,350,349,430,480,462,425,386,319,191,113,96,73,54,31,2
일요일,3호선,홍제,187,406,568,916,1335,1521,1324,1557,1617,1610,1660,1700,1562,1373,1151,968,912,699,366,6
일요일,4호선,길음,206,453,613,1077,1425,1622,1477,1715,1880,1721,1739,1815,1853,1622,1315,1171,1129,941,536,3
일요일,4호선,남태령,20,50,72,120,148,145,138,150,165,182,167,150,112,95,72,87,47,39,23,7
일요일,4호선,노원,248,670,797,1474,1943,2079,1974,2420,2594,2595,2649,2790,2817,2645,2163,2031,1832,1419,818,87
일요일,4호선,당고개,130,278,385,676,1052,963,756,838,883,886,859,914,873,806,666,584,508,397,249,31
일요일,4호선,동대문,60,185,273,431,873,1495,1727,1970,2022,2043,1950,1760,1478,1308,1359,1148,1024,743,424,22
일요일,4호선,동대문역사문화공원(DDP),103,307,454,708,1228,1616,1788,1880,2025,2173,2235,2238,2147,1995,2088,1740,1544,1213,713,30
일요일,4호선,동작(현충원),11,70,93,128,159,165,184,183,204,217,227,224,241,221,161,165,105,68,39,11
일요일,4호선,명동,95,542,793,1540,2699,3567,4089,4307,4663,4705,4914,5106,4927,4417,3874,3582,3098,2564,1080,36
일요일,4호선,미아(서울사이버대학),222,392,560,934,1105,1317,1068,1348,1267,1228,1276,1268,1226,1141,944,828,793,610,369,3
일요일,4호선,미아사거리,294,610,799,1406,2030,2131,1994,2280,2488,2452,2523,2632,2560,2330,1951,1913,1562,1121,629,4
일요일,4호선,사당,217,846,774,1097,1728,1944,2274,2489,2490,2430,2495,2698,2667,2567,2080,2051,1867,1430,717,96
일요일,4호선,삼각지,32,126,154,226,398,573,678,835,867,807,828,846,866,755,578,577,560,436,212,11
일요일,4호선,상계,228,473,640,1149,1546,1527,1370,1614,1650,1559,1591,1671,1638,1543,1222,1081,1008,846,507,11
